cat_id;name
620;U15 Fighting Men -34 kg
621;U15 Fighting Men -37 kg
622;U15 Fighting Men -41 kg
623;U15 Fighting Men -45 kg
624;U15 Fighting Men -50 kg
625;U15 Fighting Men -55 kg
626;U15 Fighting Men -60 kg
627;U15 Fighting Men -66 kg
628;U15 Fighting Men +66 kg
629;U15 Fighting Women -32 kg
630;U15 Fighting Women -36 kg
631;U15 Fighting Women -40 kg
632;U15 Fighting Women -44 kg
633;U15 Fighting Women -48 kg
637;U15 Fighting Women +63 kg
783;U10 Fighting Women +40kg
634;U15 Fighting Women -52 kg
635;U15 Fighting Women -57 kg
636;U15 Fighting Women -63 kg
647;U15 Jiu-Jitsu Men -34 kg
648;U15 Jiu-Jitsu Men -37 kg
649;U15 Jiu-Jitsu Men -41 kg
650;U15 Jiu-Jitsu Men -45 kg
651;U15 Jiu-Jitsu Men -50 kg
652;U15 Jiu-Jitsu Men -55 kg
653;U15 Jiu-Jitsu Men -60 kg
654;U15 Jiu-Jitsu Men -66 kg
655;U15 Jiu-Jitsu Men +66 kg
638;U15 Jiu-Jitsu Women -32 kg
639;U15 Jiu-Jitsu Women -36 kg
640;U15 Jiu-Jitsu Women -40 kg
641;U15 Jiu-Jitsu Women -44 kg
642;U15 Jiu-Jitsu Women -48 kg
646;U15 Jiu-Jitsu Women +63 kg
643;U15 Jiu-Jitsu Women -52 kg
644;U15 Jiu-Jitsu Women -57 kg
645;U15 Jiu-Jitsu Women -63 kg
701;U18 Jiu-Jitsu Men -50 kg
702;U18 Jiu-Jitsu Men -55 kg
703;U18 Jiu-Jitsu Men -60 kg
706;U18 Jiu-Jitsu Men -81 kg
707;U18 Jiu-Jitsu Men +81 kg
728;U21 Jiu-Jitsu Men -56 kg
729;U21 Jiu-Jitsu Men -62 kg
730;U21 Jiu-Jitsu Men -69 kg
731;U21 Jiu-Jitsu Men -77 kg
732;U21 Jiu-Jitsu Men -85 kg
733;U21 Jiu-Jitsu Men -94 kg
709;U18 Jiu-Jitsu Women -44 kg
710;U18 Jiu-Jitsu Women -48 kg
711;U18 Jiu-Jitsu Women -52 kg
714;U18 Jiu-Jitsu Women -70 kg
735;U21 Jiu-Jitsu Women -49 kg
736;U21 Jiu-Jitsu Women -55 kg
737;U21 Jiu-Jitsu Women -62 kg
738;U21 Jiu-Jitsu Women -70 kg
747;U12 Duo Men
748;U12 Duo Women
781;U15 Duo Men
749;U12 Duo Mixed
780;U15 Duo Mixed
782;U15 Duo Women
777;U15 Show Men
720;U18 Show Men
923;U12 Show Mixed
779;U15 Show Mixed
778;U15 Show Women
744;U21 Show Women
739;U21 Jiu-Jitsu Women +70 kg
743;U21 Show Mixed
470;Adults Contact Ju-Jitsu Men -56 Kg
471;Adults Contact Ju-Jitsu Men -62 Kg
473;Adults Contact Ju-Jitsu Men -77 Kg
474;Adults Contact Ju-Jitsu Men -85 Kg
475;Adults Contact Ju-Jitsu Men -94 Kg
477;Adults Contact Ju-Jitsu Women -49 Kg
479;Adults Contact Ju-Jitsu Women -62 Kg
481;Adults Contact Ju-Jitsu Women +70 Kg
607;Adults Jiu-Jitsu Men -62 kg
71;Adults Jiu-Jitsu Men -69 kg
72;Adults Jiu-Jitsu Men -77 kg
79;Adults Jiu-Jitsu Men -85 kg
73;Adults Jiu-Jitsu Men -94 kg
565;Adults Jiu-Jitsu Women -45 kg
86;Adults Jiu-Jitsu Women -55 kg
85;Adults Jiu-Jitsu Women -55 kg
87;Adults Jiu-Jitsu Women -55 kg
24;Adults Jiu-Jitsu Men +94 kg
